name,url,description,duration,remote_support,adaptive_support,test_type
Basic Statistics (New),https://www.shl.com/products/product-catalog/view/basic-statistics-new/,Basic Statistics (New),,Yes,No,['K']
Biochemistry (New),https://www.shl.com/products/product-catalog/view/biochemistry-new/,Biochemistry (New),,Yes,No,['K']
Biotech Lab Techniques (New),https://www.shl.com/products/product-catalog/view/biotech-lab-techniques-new/,Biotech Lab Techniques (New),,Yes,No,['K']
BizTalk (New),https://www.shl.com/products/product-catalog/view/biztalk-new/,BizTalk (New),,Yes,No,['K']
Business Communication (adaptive),https://www.shl.com/products/product-catalog/view/business-communication-adaptive/,Business Communication (adaptive),,Yes,Yes,['K']
Business Communications,https://www.shl.com/products/product-catalog/view/business-communications/,Business Communications,,Yes,No,['K']
C Programming (New),https://www.shl.com/products/product-catalog/view/c-programming-new/,C Programming (New),,Yes,No,['K']
C# Programming (New),https://www.shl.com/products/product-catalog/view/c-programming-new-4039/,C# Programming (New),,Yes,No,['K']
C++ Programming (New),https://www.shl.com/products/product-catalog/view/c-programming-new-4122/,C++ Programming (New),,Yes,No,['K']
Cardiology and Diabetes Management (New),https://www.shl.com/products/product-catalog/view/cardiology-and-diabetes-management-new/,Cardiology and Diabetes Management (New),,Yes,No,['K']
Ceramic Engineering (New),https://www.shl.com/products/product-catalog/view/ceramic-engineering-new/,Ceramic Engineering (New),,Yes,No,['K']
Chemical Engineering (New),https://www.shl.com/products/product-catalog/view/chemical-engineering-new/,Chemical Engineering (New),,Yes,No,['K']
Cisco AppDynamics (New),https://www.shl.com/products/product-catalog/view/cisco-appdynamics-new/,Cisco AppDynamics (New),,Yes,No,['K']
Civil Engineering (New),https://www.shl.com/products/product-catalog/view/civil-engineering-new/,Civil Engineering (New),,Yes,No,['K']
Cloud Computing (New),https://www.shl.com/products/product-catalog/view/cloud-computing-new/,Cloud Computing (New),,Yes,No,['K']
COBOL Programming (New),https://www.shl.com/products/product-catalog/view/cobol-programming-new/,COBOL Programming (New),,Yes,No,['K']
Computer Science (New),https://www.shl.com/products/product-catalog/view/computer-science-new/,Computer Science (New),,Yes,No,['K']
Contact Center Call Simulation (New),https://www.shl.com/products/product-catalog/view/contact-center-call-simulation-new/,Contact Center Call Simulation (New),,Yes,No,['S']
Conversational Multichat Simulation,https://www.shl.com/products/product-catalog/view/conversational-multichat-simulation/,Conversational Multichat Simulation,,Yes,No,['S']
Core Java (Advanced Level) (New),https://www.shl.com/products/product-catalog/view/core-java-advanced-level-new/,Core Java (Advanced Level) (New),,Yes,No,['K']
Core Java (Entry Level) (New),https://www.shl.com/products/product-catalog/view/core-java-entry-level-new/,Core Java (Entry Level) (New),,Yes,No,['K']
Count Out The Money,https://www.shl.com/products/product-catalog/view/count-out-the-money/,Count Out The Money,,Yes,Yes,"['K', 'S']"
CSS3 (New),https://www.shl.com/products/product-catalog/view/css3-new/,CSS3 (New),,Yes,No,['K']
Culinary Skills (New),https://www.shl.com/products/product-catalog/view/culinary-skills-new/,Culinary Skills (New),,Yes,No,['K']
Customer Service Phone Simulation,https://www.shl.com/products/product-catalog/view/customer-service-phone-simulation/,Customer Service Phone Simulation,,Yes,No,"['B', 'S']"
Customer Service Phone Solution,https://www.shl.com/products/product-catalog/view/customer-service-phone-solution/,Customer Service Phone Solution,,Yes,No,"['B', 'P', 'S']"
Cyber Risk (New),https://www.shl.com/products/product-catalog/view/cyber-risk-new/,Cyber Risk (New),,Yes,No,['K']
Data Entry (New),https://www.shl.com/products/product-catalog/view/data-entry-new/,Data Entry (New),,Yes,No,['S']
Data Entry Alphanumeric Split Screen - US,https://www.shl.com/products/product-catalog/view/data-entry-alphanumeric-split-screen-us/,Data Entry Alphanumeric Split Screen - US,,Yes,No,['K']
Data Entry Numeric Split Screen - US,https://www.shl.com/products/product-catalog/view/data-entry-numeric-split-screen-us/,Data Entry Numeric Split Screen - US,,Yes,No,['K']
Data Entry Ten Key Split Screen,https://www.shl.com/products/product-catalog/view/data-entry-ten-key-split-screen/,Data Entry Ten Key Split Screen,,Yes,No,['K']
Data Science (New),https://www.shl.com/products/product-catalog/view/data-science-new/,Data Science (New),,Yes,No,['K']
Data Warehousing Concepts,https://www.shl.com/products/product-catalog/view/data-warehousing-concepts/,Data Warehousing Concepts,,Yes,Yes,['K']
Dependability and Safety Instrument (DSI),https://www.shl.com/products/product-catalog/view/dependability-and-safety-instrument-dsi/,Dependability and Safety Instrument (DSI),,Yes,No,['P']
Dermatology (New),https://www.shl.com/products/product-catalog/view/dermatology-new/,Dermatology (New),,Yes,No,['K']
Desktop Support (New),https://www.shl.com/products/product-catalog/view/desktop-support-new/,Desktop Support (New),,Yes,No,['K']
Digital Advertising (New),https://www.shl.com/products/product-catalog/view/digital-advertising-new/,Digital Advertising (New),,Yes,No,['K']
Digital Readiness Development Report - IC,https://www.shl.com/products/product-catalog/view/digital-readiness-development-report/,Digital Readiness Development Report - IC,,Yes,No,['P']
Digital Readiness Development Report - Manager,https://www.shl.com/products/product-catalog/view/digital-readiness-development-report-manager/,Digital Readiness Development Report - Manager,,Yes,No,['P']
Docker (New),https://www.shl.com/products/product-catalog/view/docker-new/,Docker (New),,Yes,No,['K']
Dojo (New),https://www.shl.com/products/product-catalog/view/dojo-new/,Dojo (New),,Yes,No,['K']
Drupal (New),https://www.shl.com/products/product-catalog/view/drupal-new/,Drupal (New),,Yes,No,['K']
DSI v1.1 Interpretation Report,https://www.shl.com/products/product-catalog/view/dsi-v1-1-interpretation-report/,DSI v1.1 Interpretation Report,,Yes,No,['P']
Econometrics (New),https://www.shl.com/products/product-catalog/view/econometrics-new/,Econometrics (New),,Yes,No,['K']
Economics (New),https://www.shl.com/products/product-catalog/view/economics-new/,Economics (New),,Yes,No,['K']
Electrical and Electronics Engineering (New),https://www.shl.com/products/product-catalog/view/electrical-and-electronics-engineering-new/,Electrical and Electronics Engineering (New),,Yes,No,['K']
Electrical Engineering (New),https://www.shl.com/products/product-catalog/view/electrical-engineering-new/,Electrical Engineering (New),,Yes,No,['K']
Electronics & Telecommunications Engineering (New),https://www.shl.com/products/product-catalog/view/electronics-and-telecommunications-engineering-new/,Electronics & Telecommunications Engineering (New),,Yes,No,['K']
Electronics and Embedded Systems Engineering (New),https://www.shl.com/products/product-catalog/view/electronics-and-embedded-systems-engineering-new/,Electronics and Embedded Systems Engineering (New),,Yes,No,['K']
Electronics and Semiconductor Engineering (New),https://www.shl.com/products/product-catalog/view/electronics-and-semiconductor-engineering-new/,Electronics and Semiconductor Engineering (New),,Yes,No,['K']
English Comprehension (New),https://www.shl.com/products/product-catalog/view/english-comprehension-new/,English Comprehension (New),,Yes,No,['K']
Enterprise Java Beans (New),https://www.shl.com/products/product-catalog/view/enterprise-java-beans-new/,Enterprise Java Beans (New),,Yes,No,['K']
Enterprise Leadership Report 1.0,https://www.shl.com/products/product-catalog/view/enterprise-leadership-report/,Enterprise Leadership Report 1.0,,Yes,No,['P']
Enterprise Leadership Report 2.0,https://www.shl.com/products/product-catalog/view/enterprise-leadership-report-2-0/,Enterprise Leadership Report 2.0,,Yes,No,['P']
Entry Level Cashier Solution,https://www.shl.com/products/product-catalog/view/entry-level-cashier-solution/,Entry Level Cashier Solution,,Yes,No,"['C', 'P']"
Entry Level Customer Serv-Retail & Contact Center,https://www.shl.com/products/product-catalog/view/entry-level-customer-serv-retail-and-contact-center/,Entry Level Customer Serv-Retail & Contact Center,,Yes,No,"['P', 'C']"
Entry Level Customer Service (General) Solution,https://www.shl.com/products/product-catalog/view/entry-level-customer-service-general-solution/,Entry Level Customer Service (General) Solution,,Yes,No,"['C', 'P']"
Entry Level Hotel Front Desk Solution,https://www.shl.com/products/product-catalog/view/entry-level-hotel-front-desk-solution/,Entry Level Hotel Front Desk Solution,,Yes,No,"['C', 'P']"
Entry Level Sales Solution,https://www.shl.com/products/product-catalog/view/entry-level-sales-solution/,Entry Level Sales Solution,,Yes,No,"['C', 'P']"
Entry Level Technical Support Solution,https://www.shl.com/products/product-catalog/view/entry-level-technical-support-solution/,Entry Level Technical Support Solution,,Yes,No,"['P', 'C']"
ETL Testing (New),https://www.shl.com/products/product-catalog/view/etl-testing-new/,ETL Testing (New),,Yes,No,['K']
Executive Scenarios,https://www.shl.com/products/product-catalog/view/executive-scenarios/,Executive Scenarios,,Yes,No,['B']
Executive Scenarios Narrative Report,https://www.shl.com/products/product-catalog/view/executive-scenarios-narrative-report/,Executive Scenarios Narrative Report,,Yes,No,['B']
Executive Scenarios Profile Report,https://www.shl.com/products/product-catalog/view/executive-scenarios-profile-report/,Executive Scenarios Profile Report,,Yes,No,['B']
ExpressJS (New),https://www.shl.com/products/product-catalog/view/expressjs-new/,ExpressJS (New),,Yes,No,['K']
Filing - Names (R1),https://www.shl.com/products/product-catalog/view/filing-names-r1/,Filing - Names (R1),,Yes,No,['K']
Filing - Numbers,https://www.shl.com/products/product-catalog/view/filing-numbers/,Filing - Numbers,,Yes,No,['K']
Financial Accounting (New),https://www.shl.com/products/product-catalog/view/financial-accounting-new/,Financial Accounting (New),,Yes,No,['K']
Financial and Banking Services (New),https://www.shl.com/products/product-catalog/view/financial-and-banking-services-new/,Financial and Banking Services (New),,Yes,No,['K']
